Execution_Time,Identification_Time,CPU_Usage,Variable_Manipulation_Time,Network_Requests,Error_&_Exception_Count,Power_Consumption,Task_Success,Wait_Times,Transaction_Type,Assignee
9.826294302,2.894650229,89.20540284,2.152777547,9,2,0.999483703,Business Exception,,Selective,Assignee 6
86.09651292,2.390269252,850.1972715,21.24844498,9,1,8.617854918,Business Exception,,Additional,Assignee 4
27.99074482,4.250619134,220.9120358,6.178827128,5,1,3.037429913,Business Exception,,Selective,Assignee 6
82.06643356,2.731296108,681.6576117,19.92211587,8,1,9.344125501,Business Exception,,Selective,Assignee 5
66.75365247,0.297340905,784.7755331,17.20488352,4,1,8.216348447,System Exception,,Additional,Assignee 5
57.05437,1.099679652,565.0788063,11.77915171,7,0,5.832477893,System Exception,,Selective,Assignee 3
81.6165747,4.937089985,879.5648792,22.68216219,4,0,9.261539277,Business Exception,,Additional,Assignee 4
31.95627985,2.873217187,321.341946,8.900242992,3,0,3.686012696,Business Exception,,Additional,Assignee 6
33.48247033,1.661007555,274.9617704,8.028381991,1,2,3.761368803,System Exception,,Additional,Assignee 5
60.15024917,0.305153522,443.4246382,13.82215139,5,1,6.098646216,System Exception,,Selective,Assignee 1
5.383418828,1.343580113,46.49365613,1.561271136,5,1,0.636261501,Business Exception,,Selective,Assignee 5
79.22521757,0.146134718,710.5132568,18.40470197,3,0,8.258454597,System Exception,,Selective,Assignee 5
54.46196288,4.879110763,580.2416163,13.98811038,1,0,6.796799497,System Exception,,Additional,Assignee 6
22.15762962,4.293648681,231.1235579,5.073147364,8,2,2.453656942,Business Exception,,Mandatory,Assignee 6
46.39419926,3.739948655,334.3365089,11.04016686,1,1,4.718161643,Success,,Mandatory,Assignee 4
46.87358615,4.728681562,530.5696051,11.49920995,6,2,5.408730336,Success,,Selective,Assignee 6
26.03688788,0.844287534,284.1566805,6.197437108,2,0,3.007096429,Success,,Selective,Assignee 3
60.75317379,0.466217627,620.4219656,16.94720075,6,2,7.494869426,Success,,Selective,Assignee 3
2.589883144,0.75001777,25.14025534,0.633984614,9,0,0.26077981,Business Exception,,Additional,Assignee 6
15.78937023,3.113010933,142.4217478,3.826924327,5,1,1.693761475,System Exception,,Additional,Assignee 4
51.79994698,4.674993052,422.6873925,12.26729662,2,1,5.820571766,Success,,Additional,Assignee 2
87.94075556,2.644344497,797.7261719,18.82861258,7,2,9.356863634,Success,,Additional,Assignee 3
58.06107856,3.83711674,545.870863,13.33283052,3,2,6.012826177,System Exception,,Selective,Assignee 1
75.10016404,4.917423705,651.3780562,15.5341639,5,0,7.761928112,Success,,Mandatory,Assignee 4
39.62053673,2.791959209,334.9027821,9.509999916,3,1,3.966298531,System Exception,,Selective,Assignee 5
77.12431358,0.916124378,720.5727046,19.80902748,3,1,9.614226619,System Exception,,Additional,Assignee 5
64.96340484,3.071076161,641.0418011,17.95851174,3,2,7.291997098,System Exception,,Mandatory,Assignee 6
63.39466234,4.092376316,552.5226408,18.06766266,9,1,7.439935773,System Exception,,Mandatory,Assignee 5
47.86758195,3.083509896,493.0835679,13.0195197,9,1,5.758542871,Business Exception,,Selective,Assignee 4
20.09132227,3.467452449,190.8762964,4.91007343,2,2,2.232698055,Business Exception,,Mandatory,Assignee 5
81.36025124,2.463938548,972.3295087,19.86951909,8,0,9.834544608,Success,,Mandatory,Assignee 4
27.86445904,1.995999577,251.1326466,8.594916226,4,0,3.477962554,System Exception,,Additional,Assignee 1
81.0630323,3.379174159,757.790375,21.50807795,6,2,9.521283011,System Exception,,Selective,Assignee 3
47.9602167,4.903939401,519.0564444,13.17087897,4,2,5.371847069,Business Exception,,Selective,Assignee 6
23.31353662,4.591018398,211.6602295,6.301490791,2,2,2.589722355,Business Exception,,Selective,Assignee 3
31.40300532,2.462052383,247.9986286,7.646716225,7,1,3.418217221,Success,,Selective,Assignee 1
56.29072718,0.79664554,471.1233863,13.8152379,8,2,6.594477538,System Exception,,Additional,Assignee 5
51.39916815,3.59569038,528.8731889,12.99143231,5,1,5.486483817,Business Exception,,Selective,Assignee 3
53.85462688,3.188133318,612.9338644,16.26111673,8,1,6.723889352,Success,,Mandatory,Assignee 6
40.28286012,0.376724157,297.3451445,9.05456315,6,2,4.180990214,System Exception,,Mandatory,Assignee 3
30.46057469,0.133270116,262.5403906,7.20144413,9,1,3.077053531,Business Exception,,Selective,Assignee 6
49.69125604,0.099827684,464.0779406,13.58887143,2,1,6.190514859,Business Exception,,Mandatory,Assignee 4
90.27645402,1.870363095,811.0056138,21.5703836,4,2,9.587495912,Business Exception,,Selective,Assignee 3
29.54761979,2.159458223,302.8056513,7.749259412,5,1,3.62853978,Business Exception,,Additional,Assignee 3
53.59465009,2.766894467,487.617196,13.31856514,4,1,5.856188395,Success,,Additional,Assignee 1
20.49596984,3.821524701,191.6257384,6.086116696,4,2,2.454155634,Success,,Selective,Assignee 2
37.407753,3.955695728,340.5135162,11.30745749,6,1,4.528289538,Success,,Mandatory,Assignee 4
38.75331917,2.197281761,426.7131597,9.681257549,7,2,4.729141243,System Exception,,Additional,Assignee 1
2.255089682,2.736253655,21.31532667,0.536745106,5,1,0.244768829,Business Exception,,Selective,Assignee 1
78.92900795,4.219168783,730.591648,18.50481666,3,2,8.984061452,Success,,Selective,Assignee 4
63.18562397,3.295007999,491.6410571,16.50284701,7,0,6.935251427,Business Exception,,Selective,Assignee 1
3.6827035,4.326499042,41.557201,0.933836165,2,0,0.454198748,System Exception,,Mandatory,Assignee 1
66.78989864,2.100593054,687.2097171,18.06673507,4,1,7.388968053,Business Exception,,Selective,Assignee 6
13.37836897,4.953283855,162.7330248,3.709745107,8,2,1.649179565,Business Exception,,Additional,Assignee 3
87.66750602,1.338505176,693.2395993,21.36425818,5,0,9.341103469,Success,,Mandatory,Assignee 1
56.36044417,0.727235702,510.4019849,12.57023369,2,1,5.886659165,Success,,Selective,Assignee 3
43.09189151,4.465591376,503.8022851,10.3791358,1,1,5.108704811,Success,,Selective,Assignee 2
53.20456965,2.6727148,458.2512785,15.94743389,2,0,6.488692933,Business Exception,,Selective,Assignee 4
